LYLTY_CARD_NBR,TOT_SALES,PURCHASE_FREQUENCY,CLUSTER
1000,6.0,1,2
1002,2.7,1,2
1003,6.6,2,2
1004,1.9,1,2
1005,2.8,1,2
1007,6.5,2,2
1009,5.7,1,2
1010,13.9,2,2
1011,18.0,4,0
1012,10.3,2,2
1013,8.1,2,2
1016,8.600000000000001,2,2
1018,10.0,3,2
1019,3.1,1,2
1020,11.4,3,2
1022,4.6,1,2
1023,3.0,1,2
1024,3.0,1,2
1025,6.0,1,2
1026,2.1,1,2
1027,8.1,2,2
1028,2.7,1,2
1030,5.4,1,2
1034,6.8,2,2
1038,6.0,1,2
1039,3.0,1,2
1042,11.3,4,2
1043,3.3,1,2
1044,3.0,1,2
1046,4.2,1,2
1048,12.100000000000001,3,2
1050,3.0,1,2
1051,5.8,1,2
1052,3.3,1,2
1053,9.0,2,2
1054,7.5,2,2
1055,2.6,1,2
1056,3.9,1,2
1057,16.2,3,2
1060,17.4,3,2
1061,3.3,1,2
1062,4.4,2,2
1064,6.4,2,2
1065,8.2,3,2
1067,1.7,1,2
1068,4.6,2,2
1071,7.199999999999999,2,2
1072,7.5,2,2
1074,2.6,1,2
1076,2.6,1,2
1077,4.6,1,2
1080,7.9,3,2
1081,16.4,4,0
1086,6.5,2,2
1087,7.4,2,2
1088,3.8,1,2
1089,3.0,1,2
1090,3.0,1,2
1091,4.2,1,2
1093,3.4,1,2
1094,15.0,3,2
1095,3.0,1,2
1096,3.7,1,2
1097,15.5,3,2
1099,6.2,2,2
1101,3.0,1,2
1102,2.1,1,2
1103,2.9,1,2
1104,22.700000000000003,4,0
1105,2.1,1,2
1107,2.9,1,2
1108,2.6,1,2
1109,2.9,1,2
1111,4.2,1,2
1113,4.4,1,2
1114,10.3,3,2
1115,6.0,1,2
1116,18.5,3,2
1117,5.1,1,2
1118,9.3,3,2
1120,4.4,1,2
1121,4.9,2,2
1122,7.4,1,2
1123,1.9,1,2
1124,4.5,2,2
1125,5.8,1,2
1127,2.1,1,2
1133,2.7,1,2
1134,10.3,3,2
1136,2.1,1,2
1137,2.6,1,2
1139,6.1,2,2
1140,8.8,1,2
1141,7.6,2,2
1142,8.600000000000001,2,2
1143,2.6,1,2
1146,10.8,4,2
1147,5.4,1,2
1149,2.6,1,2
1150,15.8,4,0
1152,2.6,1,2
1155,13.2,2,2
1156,3.7,1,2
1158,2.1,1,2
1159,18.900000000000002,4,0
1161,3.7,1,2
1163,8.4,2,2
1164,6.5,2,2
1165,3.0,1,2
1168,8.8,1,2
1169,8.8,2,2
1170,10.2,1,2
1171,2.6,1,2
1172,6.0,1,2
1173,11.1,4,2
1174,14.2,2,2
1177,3.7,1,2
1178,4.2,1,2
1179,20.7,4,0
1181,1.9,1,2
1182,10.4,2,2
1183,8.4,2,2
1184,3.8,1,2
1186,3.5999999999999996,2,2
1187,5.4,1,2
1188,9.2,2,2
1189,5.4,2,2
1190,4.6,1,2
1191,5.7,1,2
1192,8.4,2,2
1193,4.3,1,2
1196,10.8,1,2
1197,5.7,1,2
1199,1.8,1,2
1201,3.0,1,2
1202,11.100000000000001,2,2
1203,11.4,1,2
1205,7.1,2,2
1206,13.0,3,2
1209,2.7,1,2
1210,2.7,1,2
1211,4.4,1,2
1212,6.8,2,2
1216,2.1,1,2
1218,3.8,1,2
1219,6.5,1,2
1223,5.1,2,2
1224,12.5,3,2
1225,1.9,1,2
1226,4.6,1,2
1228,7.3,2,2
1229,25.4,4,0
1232,11.9,2,2
1233,21.5,3,2
1235,3.0,1,2
1236,7.8,1,2
1238,3.7,1,2
1239,3.7,1,2
1240,8.5,3,2
1241,8.5,2,2
1242,3.5999999999999996,2,2
1243,5.4,1,2
1244,7.6,1,2
1246,3.8,1,2
1247,7.1000000000000005,2,2
1248,2.6,1,2
1250,2.9,1,2
1254,12.799999999999999,2,2
1256,13.600000000000001,3,2
1257,9.3,2,2
1259,6.5,1,2
1262,14.8,3,2
1263,13.5,3,2
1266,3.8,1,2
1267,3.7,1,2
1270,7.3999999999999995,2,2
1272,3.0,1,2
1273,7.4,1,2
1274,7.6,1,2
1275,4.3,1,2
1276,2.7,1,2
1277,5.6,2,2
1278,12.6,3,2
1280,11.4,2,2
1281,2.7,1,2
1282,2.7,1,2
1283,1.9,1,2
1284,3.0,1,2
1285,5.9,1,2
1286,8.3,2,2
1287,9.2,1,2
1288,10.0,3,2
1289,7.6,1,2
1290,3.7,1,2
1291,10.399999999999999,4,2
1292,2.1,1,2
1293,10.8,1,2
1294,3.0,1,2
1297,7.8,1,2
1298,12.9,3,2
1303,6.6,1,2
1305,11.4,2,2
1306,4.4,1,2
1307,12.2,3,2
1308,5.4,1,2
1310,2.6,1,2
1312,3.0,1,2
1313,16.5,4,0
1314,4.7,2,2
1317,4.4,1,2
1318,25.8,4,0
1320,8.3,2,2
1324,3.4,1,2
1326,11.1,2,2
1327,15.6,2,2
1330,9.8,3,2
1333,4.4,1,2
1335,6.0,2,2
1336,5.6,2,2
1337,5.2,1,2
1338,2.7,1,2
1339,2.7,1,2
1341,1.9,1,2
1342,4.4,1,2
1343,2.9,1,2
1345,6.7,2,2
1346,16.6,3,2
1347,2.9,1,2
1348,6.0,2,2
1349,9.1,2,2
1350,5.9,2,2
1351,2.6,1,2
1352,4.6,1,2
1353,13.0,2,2
1354,6.9,2,2
1355,2.7,1,2
1356,2.7,1,2
1357,15.2,3,2
1358,3.3,1,2
1359,3.0,1,2
1360,14.1,3,2
1361,3.7,1,2
1362,5.4,1,2
1363,3.8,1,2
1364,9.6,3,2
1365,7.6,2,2
1366,1.9,1,2
1367,17.1,3,2
1369,9.8,3,2
1370,1.5,1,2
1373,3.1,1,2
1374,6.5,2,2
1375,3.0,1,2
1376,12.100000000000001,3,2
1377,4.9,2,2
1378,4.4,1,2
1380,24.1,4,0
1383,12.8,2,2
1384,3.0,1,2
1385,9.899999999999999,2,2
1386,4.2,1,2
1390,2.3,1,2
1392,6.0,2,2
1394,4.4,1,2
1395,5.8,1,2
1396,2.7,1,2
1397,1.7,1,2
1399,1.9,1,2
1400,7.300000000000001,2,2
1401,5.699999999999999,2,2
1402,16.3,3,2
1403,6.300000000000001,2,2
1404,1.9,1,2
1406,5.6,2,2
1407,5.4,1,2
1408,1.9,1,2
1409,7.4,2,2
1410,6.0,1,2
1411,14.5,4,0
1412,5.4,1,2
1413,8.4,2,2
1414,8.6,3,2
1415,3.3,1,2
1417,9.600000000000001,2,2
1418,4.6,1,2
1419,17.5,3,2
1420,3.3,1,2
1421,2.6,1,2
1422,5.1,1,2
1423,11.1,3,2
1424,1.7,1,2
1425,4.6,1,2
1429,8.8,1,2
1430,4.4,1,2
1431,4.6,1,2
1433,2.7,1,2
1434,10.700000000000001,2,2
1436,3.8,1,2
1437,1.9,1,2
1438,3.6,1,2
1439,4.4,1,2
1440,2.9,1,2
1443,5.6,2,2
1444,7.3,3,2
1446,16.6,2,2
1448,8.0,2,2
1450,12.5,2,2
1451,8.7,2,2
1452,13.100000000000001,2,2
1453,6.0,1,2
1454,4.3,1,2
1455,17.0,3,2
1456,17.400000000000002,3,2
1457,5.7,2,2
1459,22.200000000000003,3,0
1460,17.9,3,2
1461,1.9,1,2
1462,3.8,1,2
1463,5.1,1,2
1464,14.200000000000001,2,2
1465,6.0,1,2
1467,2.6,1,2
1468,3.7,1,2
1470,12.600000000000001,3,2
1471,4.4,1,2
1473,7.2,2,2
1474,1.7,1,2
1475,5.7,1,2
1477,8.8,2,2
1478,6.5,1,2
1480,6.699999999999999,2,2
1482,6.699999999999999,2,2
1484,7.300000000000001,2,2
1485,3.0,1,2
1486,2.6,1,2
1487,14.9,3,2
1488,4.6,1,2
1489,6.5,2,2
1490,13.7,2,2
1491,4.6,1,2
1494,1.7,1,2
1495,2.6,1,2
1501,25.700000000000003,5,0
1502,6.4,2,2
1504,4.9,2,2
2000,11.100000000000001,3,2
2001,3.7,1,2
2002,3.0,1,2
2003,3.8,1,2
2004,7.2,2,2
2006,9.600000000000001,2,2
2008,6.3,2,2
2010,3.8,1,2
2012,3.3,1,2
2013,2.6,1,2
2015,3.3,1,2
2017,7.0,2,2
2018,2.9,1,2
2019,3.0,1,2
2020,3.7,1,2
2022,6.1000000000000005,2,2
2023,9.8,2,2
2024,5.4,1,2
2025,8.0,2,2
2026,11.8,3,2
2027,13.0,2,2
2030,8.8,2,2
2032,6.5,1,2
2033,2.6,1,2
2034,9.2,3,2
2035,3.8,1,2
2036,3.3,1,2
2038,2.7,1,2
2040,4.6,1,2
2041,1.9,1,2
2042,10.0,3,2
2043,6.300000000000001,2,2
2044,13.5,2,2
2045,3.0,1,2
2047,5.6,2,2
2048,7.300000000000001,2,2
2049,3.0,1,2
2050,17.7,4,0
2051,11.200000000000001,2,2
2052,5.7,1,2
2053,3.0,1,2
2055,4.2,1,2
2056,3.7,1,2
2058,3.8,1,2
2059,3.7,1,2
2060,14.1,3,2
2069,4.7,2,2
2071,3.0,1,2
2074,1.9,1,2
2080,15.4,2,2
2081,3.7,1,2
2082,5.7,1,2
2083,4.3,1,2
2084,14.7,4,0
2086,6.3,2,2
2088,3.0,1,2
2089,7.4,2,2
2090,10.2,2,2
2091,8.4,2,2
2093,5.6,2,2
2095,9.2,1,2
2096,15.4,2,2
2097,4.4,1,2
2098,5.7,2,2
2100,3.9,1,2
2101,3.0,1,2
2102,5.1,1,2
2103,8.7,2,2
2104,3.9,1,2
2105,2.9,1,2
2106,14.900000000000002,5,0
2107,10.6,3,2
2112,5.1,1,2
2113,2.3,1,2
2114,8.8,1,2
2116,2.9,1,2
2117,2.9,1,2
2119,5.5,2,2
2120,3.7,1,2
2121,3.8,1,2
2122,3.8,1,2
2123,3.7,1,2
2125,8.4,3,2
2129,8.8,1,2
2130,3.0,1,2
2131,10.3,2,2
2133,6.0,2,2
2135,5.4,1,2
2136,2.1,1,2
2139,8.7,2,2
2141,2.6,1,2
2143,3.9,1,2
2144,8.9,3,2
2146,8.399999999999999,2,2
2147,3.8,1,2
2148,3.0,1,2
2149,3.3,1,2
2150,4.6,1,2
2153,7.1,2,2
2154,9.2,3,2
2155,11.700000000000001,3,2
2161,4.6,1,2
2163,8.8,3,2
2164,9.2,1,2
2166,11.8,2,2
2167,4.5,2,2
2168,6.800000000000001,2,2
2169,3.0,1,2
2170,5.4,1,2
2172,1.9,1,2
2173,6.6,2,2
2175,9.2,1,2
2176,5.9,2,2
2178,2.7,1,2
2180,3.0,1,2
2181,15.9,5,0
2182,2.1,1,2
2183,3.0,1,2
2184,7.800000000000001,2,2
2185,4.6,1,2
2186,10.4,3,2
2188,5.4,1,2
2190,9.9,2,2
2191,5.4,1,2
2194,1.9,1,2
2196,1.7,1,2
2198,5.800000000000001,2,2
2199,4.7,2,2
2200,6.0,1,2
2202,15.0,5,0
2203,6.0,2,2
2205,8.299999999999999,2,2
2210,5.300000000000001,2,2
2211,2.9,1,2
2214,3.7,1,2
2216,7.199999999999999,2,2
2217,8.8,2,2
2218,3.0,1,2
2219,3.7,1,2
2220,9.3,2,2
2222,3.8,1,2
2223,5.1,1,2
2224,4.6,1,2
2225,9.5,3,2
2226,5.3,2,2
2227,5.7,1,2
2230,14.100000000000001,3,2
2231,4.6,1,2
2232,5.4,1,2
2233,4.4,1,2
2234,2.6,1,2
2236,10.2,3,2
2237,10.3,3,2
2238,13.200000000000001,3,2
2240,3.3,1,2
2242,7.8,3,2
2244,17.2,3,2
2245,1.7,1,2
2246,2.7,1,2
2247,9.100000000000001,2,2
2248,3.8,1,2
2250,12.700000000000001,4,2
2253,2.6,1,2
2254,6.5,1,2
2255,4.6,1,2
2256,7.9,3,2
2257,11.8,3,2
2258,4.4,1,2
2259,3.0,1,2
2260,9.899999999999999,3,2
2262,9.2,1,2
2265,4.2,1,2
2270,9.4,4,2
2272,1.5,1,2
2273,6.6,2,2
2274,12.4,3,2
2277,4.2,1,2
2278,4.4,1,2
2279,8.9,3,2
2280,2.9,1,2
2281,1.7,1,2
2283,9.2,1,2
2285,5.4,1,2
2286,3.3,1,2
2287,4.6,1,2
2288,9.100000000000001,2,2
2292,4.4,1,2
2294,5.7,1,2
2295,3.0,1,2
2298,1.5,1,2
2302,7.4,2,2
2303,1.9,1,2
2304,7.8,2,2
2305,5.4,1,2
2309,4.3,2,2
2310,2.6,1,2
2311,19.299999999999997,5,0
2313,4.6,1,2
2315,3.3,1,2
2319,6.7,2,2
2320,7.5,2,2
2323,1.9,1,2
2324,6.0,2,2
2326,14.200000000000001,2,2
2327,5.7,1,2
2328,4.2,1,2
2330,8.8,1,2
2331,2.9,1,2
2332,4.6,1,2
2335,5.7,1,2
2339,2.8,1,2
2340,6.5,2,2
2342,1.7,1,2
2344,3.9,1,2
2345,10.4,3,2
2346,9.5,2,2
2347,3.0,1,2
2348,3.3,1,2
2349,7.699999999999999,2,2
2353,8.399999999999999,2,2
2354,13.799999999999999,2,2
2356,7.5,2,2
2358,6.8,2,2
2361,8.0,3,2
2362,4.6,1,2
2363,2.1,1,2
2364,5.8,2,2
2365,2.1,1,2
2367,4.2,1,2
2368,7.699999999999999,2,2
2369,5.9,1,2
2370,4.4,1,2
2371,2.7,1,2
2372,4.6,1,2
2373,15.0,1,2
2375,5.0,2,2
2376,12.0,3,2
2377,5.7,1,2
2378,3.8,1,2
2380,12.5,3,2
2381,2.7,1,2
2382,8.8,2,2
2383,5.7,1,2
2384,8.399999999999999,2,2
2385,12.2,3,2
2386,5.800000000000001,2,2
2387,4.2,1,2
2389,3.3,1,2
2394,3.0,1,2
2395,3.0,1,2
2396,11.799999999999999,2,2
2398,10.0,2,2
2399,3.7,1,2
2400,6.5,1,2
2401,7.0,2,2
2402,7.5,3,2
2404,11.7,3,2
2409,2.4,1,2
2410,3.0,1,2
2411,11.3,3,2
2412,3.0,1,2
2413,9.5,2,2
2414,7.6,1,2
2415,7.0,2,2
2417,13.1,4,2
2418,4.6,1,2
2419,1.7,1,2
2421,3.7,1,2
2425,9.8,2,2
2426,13.8,1,2
2427,7.1000000000000005,2,2
2428,15.2,2,2
2429,16.5,4,0
2430,6.6,1,2
2431,4.4,1,2
2433,2.7,1,2
2434,4.6,1,2
2437,16.0,2,2
2438,9.5,2,2
2439,3.0,1,2
2441,1.9,1,2
2444,3.7,1,2
2447,6.7,2,2
2448,3.7,1,2
2450,13.0,4,2
2451,21.900000000000002,3,0
2452,12.799999999999999,2,2
2454,6.300000000000001,2,2
2456,4.2,1,2
2457,8.8,1,2
2458,11.8,1,2
2460,8.8,1,2
2466,5.4,1,2
2467,2.6,1,2
2468,3.6,1,2
2469,4.2,1,2
2470,6.300000000000001,2,2
2471,2.7,1,2
2472,4.4,1,2
2477,8.5,2,2
2478,10.3,2,2
2479,2.6,1,2
2480,4.4,2,2
2481,3.0,1,2
2482,6.6,2,2
2483,2.7,1,2
2484,4.2,1,2
2486,2.6,1,2
2489,10.8,2,2
2491,8.100000000000001,2,2
2492,4.4,2,2
2493,2.6,1,2
2494,2.7,1,2
3000,22.8,2,2
3001,43.0,5,0
3002,38.6,5,0
3003,39.0,5,0
3004,48.0,5,0
3005,35.6,5,0
3006,15.799999999999999,2,2
3007,48.400000000000006,5,0
3008,26.0,3,0
3009,12.0,2,2
3010,11.4,1,2
3011,30.5,4,0
3012,34.6,4,0
3013,12.2,2,2
3014,68.0,7,1
3015,53.599999999999994,6,1
3016,25.4,3,0
3017,20.200000000000003,2,2
3018,18.4,2,2
3019,37.2,4,0
3020,31.6,4,0
3022,80.9,9,1
3023,26.0,3,0
3024,49.9,6,1
3025,43.2,5,0
3026,25.4,3,0
3027,27.2,3,0
3028,31.8,4,0
3029,10.2,1,2
3030,31.799999999999997,4,0
3031,55.9,6,1
3032,29.4,3,0
3033,29.8,5,0
3034,21.4,2,2
3035,40.0,4,0
3036,57.0,7,1
3037,17.799999999999997,2,2
3038,24.0,3,0
3039,21.6,2,2
3040,35.0,4,0
3041,23.5,3,0
3042,27.6,3,0
3043,44.8,5,0
3044,55.400000000000006,6,1
3045,51.6,5,0
